Year;Month;Power Source;Total Investment (rmb x 100 million yuan);Cumulative YOY Growth
2009;9;Hydro;438.0;
2014;5;All;909.0;
2012;8;Wind;265.0;
2012;6;Nuclear;321.0;
2012;10;Wind;415.0;
2013;10;Nuclear;457.0;
2011;9;All;2428.0;
2010;12;All;3641.0;
2015;12;All;4091.0;11.0
2016;8;Coal;552.0;-10.6784098428
2016;9;Coal;660.0;-8.36435581416
2010;6;Wind;285.0;
2016;7;Wind;311.0;-34.1822802649
2011;5;Nuclear;258.0;
2010;8;Coal;736.0;
2009;11;All;2827.0;
2013;5;All;1127.0;
2011;3;Nuclear;152.0;
2018;5;Hydro;191.0;13.4
2010;4;Wind;117.0;
2015;2;Hydro;96.0;-3.1
2013;6;Wind;186.0;
2012;11;All;3021.0;
2011;5;Coal;395.0;
2015;7;Coal;499.0;18.6
2016;3;All;464.0;-14.9
2014;11;All;2887.0;-6.2
2016;10;Coal;766.669156;-9.0836257858517
2016;12;Wind;896.207875;-25.331241791134
2017;6;Wind;206.29253;-15.554868526531537
2017;9;All;1728.057;-13.1238212556425
2012;2;Nuclear;105.0;
2014;7;Hydro;387.0;
2010;8;Wind;460.0;
2018;8;Hydro;359.0;26.0
2012;6;Coal;401.0;
2016;4;All;662.0;-13.1193392718
2014;6;Nuclear;238.0;
2017;9;Nuclear;295.5193;-10.2608748843872
2015;12;Hydro;782.0;-17.0
2013;10;All;2658.0;
2016;6;Coal;378.0;-6.41119141315
2012;4;Hydro;348.0;
2014;3;All;473.0;
2015;10;Nuclear;368.0;-13.6
2011;11;Wind;642.0;
2010;4;Hydro;185.0;
2018;7;Nuclear;239.0;11.3
2015;12;Coal;1396.0;22.0
2015;10;All;2599.0;5.8
2010;11;Nuclear;541.0;
2018;11;All;2262.0;-2.9
2018;11;Wind;483.0;-16.2
2015;7;Hydro;319.0;-17.6
2016;5;Nuclear;167.0;6.25928882379
2014;3;Hydro;153.0;
2018;7;Coal;381.0;1.8
2010;2;Hydro;97.0;
2011;4;Coal;294.0;
2017;7;Coal;373.9659;-19.3385696232854
2014;8;Nuclear;312.0;
2009;8;All;2002.0;
2010;2;Wind;47.0;
